TNS Name,risetime,risetime_upper,risetime_lower,T_rise,T_rise_upper,T_rise_lower,T_fall,T_fall_upper,T_fall_lower,T_max,T_max_err,t_minus_half,t_minus_half_err,t_plus_half,t_plus_half_err,t_minus_five,t_plus_five,T_explode,T_explode_lower,T_explode_upper,fireball_power,fireball_power_lower,fireball_power_upper
2022jli,,,,8.219839741029364,0.13505878772166646,-0.13921665767972158,74.58974324643408,0.17623629946777442,-0.17799977399914724,59745.617238133054,15.77756193340438,59720.647877075244,0.34838196230388024,59804.3911466877,7.1997475760382015,59696.292141292586,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2023cvb,60.60682497410744,21.452928574433017,-130.43980301379372,3.2612068845166395,2.290899425530711,-3.374076977266926,75.67389664355126,4.532883257987535,-5.359058491850206,59975.41862196238,20.624971378555628,59964.87977741716,20.223215958997297,60011.47109752856,25.06679525100518,59956.22194698597,,59914.81179698827,-109.81483163523808,0.8279571958773886,1.9039372321949162,-0.17684248425086846,0.8279571958773886
2023clx,14.6428881228494,17.4281729948402,-17.587321809709895,1.8616943305065112,0.3004529868625829,-0.33702372056075247,28.76266643422053,0.909671187436544,-0.9718208487244162,59999.56347906494,16.024613606494743,59992.26466707329,0.49313192594565636,60019.970250831626,2.059891962278327,59986.545014653304,,59984.92059094209,-1.562708203215152,1.4035593883454567,1.7693322895829735,-0.22668390044449427,1.4035593883454567
2022wtn,39.27253077468049,3.6179465245689335,-4.111068081193762,7.350497229568711,0.5642139519238114,-0.5888347989459444,159.6545520828895,27.085869756026767,-32.55662533025193,59885.86353328715,1.973856928877749,59861.143495064534,0.8420461036732959,60002.81134898322,21.119375235831548,59841.520800739476,,59846.59100251247,-2.137211152316013,1.6440895956911845,1.6217169250418717,-0.22486475928674543,1.6440895956911845
2022upj,68.71928299518913,5.889216298722774,-7.163526211717569,15.337698009954865,1.490251508502082,-1.6912665547043293,229.49839637406777,59.620566457572465,-47.44741068535788,59897.47248226984,4.682635637172668,59849.86329929541,1.8734764111133568,59956.23535962318,3.705034381212506,59807.04752769138,,59828.75319927465,-2.480890574544901,1.206580661550106,1.5150422485588626,-0.1413446564906078,1.206580661550106
2022pna,20.065721492610464,16.309526925923464,-16.136359693390304,3.9331050285274514,0.6901529877126715,-0.7738334174983961,60.6096296486587,5.778914909566296,-6.688343241595788,59790.68145354423,11.16149452548653,59778.48807904476,11.518634416530091,59837.41330820733,2.6566409516960547,59767.68711028858,59980.15210578958,59770.61573205162,-4.974865167903772,5.148032400436932,1.7098989949747248,-0.315408649400859,5.148032400436932
2022lri,22.696652445862128,7.747190714519092,-9.808646951456467,3.3291732360725854,0.9651628818565374,-1.0990368466356797,79.42544716886997,2.385594698748477,-2.6359883711424885,59677.06100996071,4.252605006175144,59665.840777285775,1.8804580483205213,59735.93035949146,2.7327506409310796,59656.09021624048,59927.60336803607,59654.364357514845,-5.556041945281322,3.4945857083439478,1.762198196568515,-0.2373430591129435,3.4945857083439478
2022hvp,12.176794431885355,1.401001909257482,-1.1682120853847462,2.1496203953019983,0.17309916091127442,-0.18170262836857853,34.89792172274933,2.2846830913450376,-2.5060193030815796,59697.493757201635,0.49413751093104813,59690.85979510635,0.2366367836047491,59724.18343680045,0.7138021773015959,59684.54154647896,59805.39275664329,59685.31696276975,-0.674074574453698,0.9068643983264337,1.772802051109837,-0.25646649566146773,0.9068643983264337
2022gri,123.49764023064927,28.76840659286246,-28.777163607192062,29.064231672613012,1.9819908889142148,-2.4494148034613765,286.332138543851,19.067779055978917,-10.13285271702432,59775.15430614885,27.231464020143914,59690.008854110965,17.09281428543422,59995.51392435377,6.949588373074208,59606.643091791586,,59651.6566659182,-1.5456995870481478,1.5369425727185444,1.5032104035312404,-0.008177286040761844,1.5369425727185444
