         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57415.468590 19.256669      NaN    -50    24 o    0   1.28 112.22887 26.89703  9915.05  3981.39 3.60 3.14  81.1 -0.483    18.95 20.21 02a57415o0438o       0    32.754230
57442.355632 18.598565      NaN    -22    44 o    0   1.04 112.22887 26.89703   551.20  4413.27 4.55 3.48 -45.4 -0.460    18.52 19.47 02a57442o0250o       0    49.323824
57442.367819 18.598565      NaN    -24    44 o    0   0.96 112.22887 26.89703 10272.65  4434.43 4.15 3.16  79.7 -0.482    18.48 19.42 02a57442o0268o       0    49.323824
57442.373712 18.702047      NaN     -7    40 o    0   1.38 112.22887 26.89703   249.10  3835.87 4.78 3.49 -41.0 -0.437    18.49 19.42 02a57442o0277o       0    45.791261
57442.382597 18.702047      NaN    -61    40 o    0   1.12 112.22887 26.89703  9975.23  3849.05 4.00 3.23  75.3 -0.500    18.48 19.38 02a57442o0292o       0    45.791261
57442.393445 16.896491      NaN   -267   211 o    0   1.34 112.22887 26.89703  1437.20  3239.07 5.63 3.76  -8.9 -0.485    16.71 17.85 02a57442o0310o       2   212.174078
57442.400993 18.623526      NaN     -3    43 o    0   1.23 112.22887 26.89703  1610.35  3279.32 4.37 3.45 -28.9 -0.483    18.44 19.36 02a57442o0322o       0    48.433868
57443.353035 18.910912      NaN    -26    33 o    0   1.19 112.22887 26.89703   606.82  4645.72 4.56 3.46 -44.4 -0.469    18.74 19.91 02a57443o0298o       0    39.822601
57443.353555 18.847027      NaN    -44    35 o    0   1.27 112.22887 26.89703 10329.67  4689.24 4.32 3.13  82.4 -0.493    18.71 19.91 02a57443o0299o       0    41.495055
57443.356055 18.729535      NaN    -24    39 o    0   1.00 112.22887 26.89703   309.67  4088.40 4.89 3.50 -44.6 -0.452    18.73 19.91 02a57443o0303o       0    44.920369
57443.370943 18.816441      NaN     -6    36 o    0   1.31 112.22887 26.89703 10048.64  4101.31 4.17 3.33  76.4 -0.492    18.72 19.89 02a57443o0329o       0    42.341936
57443.382100 18.729535      NaN    -29    39 o    0   0.95 112.22887 26.89703  1492.04  3491.85 4.51 3.47 -32.6 -0.498    18.70 19.86 02a57443o0348o       0    44.920369
57443.391552 18.261819      NaN     80    34 o    0   1.23 112.22887 26.89703  1612.37  3279.12 4.48 3.44 -26.9 -0.507    18.69 19.83 02a57443o0364o       0    40.655130
57463.317159 18.786693      NaN    -91    37 o    0   1.32 112.22887 26.89703   950.46  4646.61 4.45 3.61 -36.6 -0.511    18.61 19.92 02a57463o0120o       0    43.195365
57463.331192 18.847027      NaN    -44    35 o    0   1.67 112.22887 26.89703   653.33  4071.02 4.66 3.44 -30.6 -0.497    18.63 19.92 02a57463o0147o       0    41.495055
57463.341161 18.675237      NaN     -6    41 o    0   1.08 112.22887 26.89703 10393.78  4098.81 4.72 3.44  76.1 -0.512    18.74 20.07 02a57463o0164o       0    46.667329
57463.348785 18.237955      NaN     69    39 o    0   1.14 112.22887 26.89703  1836.51  3476.58 4.46 3.23 -20.3 -0.498    18.63 19.91 02a57463o0177o       0    44.920369
57463.370478 18.757738      NaN    -14    38 o    0   1.23 112.22887 26.89703  1594.37  3268.55 4.59 3.24 -22.8 -0.514    18.61 19.84 02a57463o0211o       0    44.054961
57467.306869 18.125925      NaN     56    50 o    0   1.27 112.22887 26.89703   805.12  4607.19 4.52 3.31 -33.1 -0.527    18.30 19.20 02a57467o0203o       0    54.743398
57467.315966 13.804742      NaN   1559  3120 o    0   0.01 112.22887 26.89703 10527.73  4659.69 4.77 3.33  79.1 -0.526    18.28 19.17 02a57467o0221o       2  3120.079621
57467.322075 18.417189      NaN    -51    52 o    0   1.08 112.22887 26.89703   509.25  4031.28 4.75 3.37 -33.9 -0.518    18.30 19.20 02a57467o0232o       0    56.575963
57467.330725 17.689250      NaN    121    62 o    0   0.76 112.22887 26.89703 10231.78  4074.93 4.38 3.17  79.0 -0.529    18.29 19.13 02a57467o0248o       2    65.885048
57467.338593 18.120615      NaN     66    47 o    0   1.41 112.22887 26.89703  1694.80  3455.05 4.42 3.32 -25.7 -0.538    18.29 19.16 02a57467o0261o       0    52.017685
57467.363075 18.336727      NaN     11    53 o    0   1.02 112.22887 26.89703  1589.08  3266.61 4.57 3.37 -26.9 -0.541    18.27 19.12 02a57467o0303o       0    57.496431
57471.334443 14.708037      NaN    322  1477 o    0   0.02 112.22887 26.89703  1308.88  3133.64 3.18 2.90   3.9 -0.517    16.50 17.97 02a57471o0055o 8388610  1477.168183
57475.301854 19.128787      NaN      2    27 o    0   1.74 112.22887 26.89703   782.04  4456.48 4.34 3.44 -41.7 -0.505    19.00 20.62 02a57475o0166o       0    35.011992
57475.309474 17.909502      NaN    104    49 o    0   2.99 112.22887 26.89703 10520.77  4495.95 5.06 2.97  86.6 -0.498    19.03 20.69 02a57475o0179o       0    53.831585
57475.316607 19.089302      NaN    -27    28 o    0   1.12 112.22887 26.89703   482.95  3882.63 4.85 3.59 -38.1 -0.484    19.03 20.67 02a57475o0190o       0    35.788819
57475.324979 18.944322      NaN    -14    32 o    0   1.16 112.22887 26.89703 10225.14  3906.35 4.59 3.38  76.8 -0.500    19.07 20.73 02a57475o0204o       0    38.997943
57475.332755 19.128787      NaN    -56    27 o    0   1.30 112.22887 26.89703  1671.23  3288.12 4.48 3.41 -25.3 -0.526    19.04 20.64 02a57475o0216o       0    35.011992
57475.351139 19.014394      NaN    -44    30 o    0   1.06 112.22887 26.89703  1585.54  3271.02 4.36 3.43 -25.6 -0.527    18.87 20.33 02a57475o0245o       0    37.374317
57495.234984 18.550302      NaN    -38    46 o    0   1.17 112.22887 26.89703   975.55  4158.13 4.30 3.65 -40.7 -0.498    18.35 19.20 02a57495o0048o       0    51.115943
57495.246078 18.526952      NaN     17    42 o    0   1.14 112.22887 26.89703   958.24  4114.10 4.34 3.61 -34.0 -0.501    18.55 19.57 02a57495o0069o       0    47.548287
57495.253782 18.757738      NaN    -23    38 o    0   1.39 112.22887 26.89703  1010.14  4190.70 4.49 3.73 -38.6 -0.488    18.50 19.54 02a57495o0084o       0    44.054961
57495.269375 18.389700      NaN     48    38 o    0   1.72 112.22887 26.89703  1026.10  4071.41 4.17 3.48 -39.6 -0.514    18.47 19.49 02a57495o0114o       0    44.054961
57499.288199 18.417189      NaN    -50    52 o    0   1.11 112.22887 26.89703   967.74  4146.45 4.60 3.74 -34.8 -0.490    18.21 19.09 02a57499o0136o       0    56.575963
57499.300099 18.336727      NaN    -46    56 o    0   0.84 112.22887 26.89703   950.71  4107.17 4.42 3.59 -31.6 -0.493    18.20 19.04 02a57499o0158o       0    60.273042
57499.309022 18.131260      NaN     52    51 o    0   1.16 112.22887 26.89703  1002.13  4183.79 4.56 3.76 -36.4 -0.485    18.18 19.01 02a57499o0175o       0    55.658239
57499.318632 18.396507      NaN    -19    53 o    0   1.41 112.22887 26.89703  1019.15  4066.90 4.76 3.90 -38.2 -0.465    18.09 18.98 02a57499o0193o       0    57.496431
57500.241063 18.574166      NaN    -70    45 o    0   1.39 112.22887 26.89703   974.48  4151.95 4.18 3.72 -45.7 -0.502    18.26 19.10 02a57500o0062o       0    50.217921
57500.254712 18.504094      NaN    -14    48 o    0   1.28 112.22887 26.89703   957.50  4109.19 4.32 3.72 -35.5 -0.508    18.25 19.10 02a57500o0087o       0    52.922959
57500.272720 18.214605      NaN     40    50 o    0   1.22 112.22887 26.89703  1009.43  4181.92 4.35 3.60 -35.1 -0.513    18.19 18.99 02a57500o0118o       0    54.743398
57500.293560 18.317510      NaN    -33    57 o    0   1.11 112.22887 26.89703  1029.57  4061.76 4.57 3.69 -36.5 -0.495    18.11 18.87 02a57500o0156o       0    61.203264
57505.292693 18.323878      NaN     76    32 o    0   1.30 112.22887 26.89703   976.44  4147.57 4.33 3.59 -37.8 -0.486    18.78 20.14 02a57505o0140o       0    38.997943
57505.306548 18.944322      NaN    -20    32 o    0   1.25 112.22887 26.89703  1013.23  4106.69 4.37 3.62 -37.5 -0.476    18.72 20.08 02a57505o0167o       0    38.997943
57505.316997 18.933071      NaN      3    32 o    0   1.30 112.22887 26.89703   960.57  4088.09 4.49 3.74 -36.6 -0.454    18.63 19.99 02a57505o0187o       0    38.997943
57506.255457 18.978793      NaN    -13    31 o    0   1.08 112.22887 26.89703   980.71  4148.17 4.24 3.66 -35.7 -0.484    18.83 20.21 02a57506o0080o       0    38.181665
57506.270689 19.014394      NaN    -13    30 o    0   1.25 112.22887 26.89703  1010.81  4107.32 4.78 3.98 -41.9 -0.450    18.71 20.21 02a57506o0104o       0    37.374317
57506.289028 18.889197      NaN     10    31 o    0   1.32 112.22887 26.89703   956.78  4086.92 4.99 4.14 -41.6 -0.426    18.61 20.18 02a57506o0136o       0    38.181665
