         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask
57433.397444 19.038793      NaN     15    25 c    0   0.81 105.8277 23.02908  4031.95  5166.40 4.28 4.02 -46.1 -0.391    18.96 20.54 02a57433o0336c       0
57433.421821 19.401649      NaN    -30    21 c    0   0.96 105.8277 23.02908  4125.73  5472.56 3.96 3.71 -50.6 -0.419    19.06 20.61 02a57433o0374c       0
57450.345926 19.454622      NaN     14    16 c    0   0.96 105.8277 23.02908  3364.73  6667.03 3.88 3.51 -64.1 -0.445    19.56 21.53 02a57450o0286c       0
57450.363235 19.766969      NaN    -19    15 c    0   0.95 105.8277 23.02908  3080.97  6089.89 3.83 3.49 -57.5 -0.447    19.57 21.53 02a57450o0320c       0
57450.405472 19.743105      NaN      3    15 c    0   1.14 105.8277 23.02908  4104.32  5569.86 3.68 3.48 -51.0 -0.414    19.52 21.40 02a57450o0395c       0
57451.337129 19.549093      NaN      6    17 c    0   1.00 105.8277 23.02908  3151.30  6782.77 3.88 3.54 -61.3 -0.458    19.52 21.47 02a57451o0273c       0
57451.355413 19.631075      NaN      2    17 c    0   0.84 105.8277 23.02908  2866.85  6206.02 3.97 3.55 -54.8 -0.459    19.49 21.43 02a57451o0307c       0
57451.366344 19.631075      NaN    -23    17 c    0   0.88 105.8277 23.02908  4027.55  5623.89 3.77 3.52 -55.2 -0.454    19.50 21.42 02a57451o0326c       0
57451.389848 19.549093      NaN      9    16 c    0   0.99 105.8277 23.02908  4101.12  5568.95 3.79 3.51 -51.2 -0.437    19.49 21.37 02a57451o0369c       0
57455.333553 19.051202      NaN    -20    29 c    0   0.77 105.8277 23.02908  3154.07  6628.07 3.94 3.61 -63.6 -0.448    18.96 20.84 02a57455o0239c       0
57455.350917 18.944322      NaN    -33    32 c    0   0.96 105.8277 23.02908  2870.73  6052.00 3.98 3.60 -55.0 -0.447    18.83 20.69 02a57455o0273c       0
57455.370855 18.944322      NaN    -26    32 c    0   1.00 105.8277 23.02908  4033.65  5469.89 3.80 3.57 -52.1 -0.450    18.72 20.48 02a57455o0308c       0
57455.394990 18.445391      NaN      7    49 c    0   0.78 105.8277 23.02908  4102.27  5570.35 3.70 3.48 -54.7 -0.449    18.26 19.97 02a57455o0347c       0
57479.283069 19.089302      NaN     26    20 c    0   0.88 105.8277 23.02908  2990.56  6944.00 3.88 3.48 -70.1 -0.475    19.31 21.07 02a57479o0095c       0
57479.300724 19.155932      NaN     12    23 c    0   0.76 105.8277 23.02908  2706.52  6386.74 3.94 3.50 -62.2 -0.470    19.27 21.04 02a57479o0130c       0
57479.318455 19.038793      NaN     33    19 c    0   1.11 105.8277 23.02908  3870.70  5785.13 3.86 3.54 -57.7 -0.470    19.25 20.99 02a57479o0165c       0
57479.337028 19.351140      NaN    -11    22 c    0   0.89 105.8277 23.02908  4087.19  5556.91 3.93 3.62 -39.8 -0.495    19.23 20.98 02a57479o0200c       0
57483.258177 19.401649      NaN    -33    21 c    0   0.84 105.8277 23.02908  3333.81  7004.33 3.90 3.77 -79.8 -0.452    19.28 21.06 02a57483o0103c    8192
57483.312150 19.454622      NaN      8    18 c    0   1.17 105.8277 23.02908  4089.79  5556.14 3.94 3.67 -57.6 -0.479    19.24 21.01 02a57483o0150c    8192
57487.251197 19.401649      NaN    -33    21 c    0   1.17 105.8277 23.02908  3289.68  6695.10 4.10 3.90 -72.6 -0.463    19.16 20.87 02a57487o0092c       0
57487.268039 19.454622      NaN    -40    20 c    0   0.99 105.8277 23.02908  3003.57  6114.61 3.97 3.65 -54.8 -0.456    19.20 20.87 02a57487o0124c       0
57487.285648 19.351140      NaN     -1    22 c    0   0.98 105.8277 23.02908  4162.78  5533.18 3.92 3.67 -56.3 -0.487    19.19 20.87 02a57487o0157c       0
57487.304659 19.271854      NaN     10    21 c    0   1.08 105.8277 23.02908  4090.22  5556.25 4.02 3.74 -58.1 -0.480    19.15 20.84 02a57487o0190c       0
57489.245986 18.921935      NaN     31    23 c    0   1.10 105.8277 23.02908  3355.55  6541.16 4.13 3.88 -79.4 -0.492    19.01 20.64 02a57489o0075c       0
57489.260341 19.302877      NaN     -2    23 c    0   0.96 105.8277 23.02908  3073.37  5961.33 4.05 3.71 -68.2 -0.473    19.07 20.66 02a57489o0103c       0
57489.277550 19.128787      NaN    -30    27 c    0   1.01 105.8277 23.02908  4232.80  5380.65 4.12 3.50  22.8 -0.458    18.85 20.70 02a57489o0136c       0
57489.295520 19.318728      NaN      4    22 c    0   1.02 105.8277 23.02908  4086.51  5557.83 3.92 3.65 -68.6 -0.492    19.06 20.75 02a57489o0169c       0
57507.288892 19.142275      NaN     10    24 c    0   0.99 105.8277 23.02908  3480.37  6432.49 3.88 3.62 -59.8 -0.460    19.00 20.65 02a57507o0139c    8192
