         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask
58043.651931 18.317510      NaN    -33    57 c    0   1.19 105.8277 23.02908  2480.03 10014.37 2.85 2.73   7.4 -0.459    17.87 18.89 02a58043o0018c    8192
58043.654927 17.252588      NaN    -58   152 c    0   1.33 105.8277 23.02908  8197.40   441.48 3.30 3.17  88.7 -0.466    16.97 18.03 02a58043o0024c       2
58071.576434 20.103715      NaN      8     9 c    0   1.03 105.8277 23.02908  5433.71  7160.13 2.46 2.29  33.0 -0.482    19.73 21.45 02a58071o0697c       0
58071.584935 20.039830      NaN     10     9 c    0   1.33 105.8277 23.02908  5074.75  3309.59 2.82 2.63  45.9 -0.404    19.59 21.37 02a58071o0714c       0
58071.585848 20.449472      NaN     -8     8 c    0   1.36 105.8277 23.02908  5021.51  3230.99 2.78 2.59  42.0 -0.405    19.65 21.42 02a58071o0716c       0
58075.559078 20.449472      NaN      1     8 c    0   1.02 105.8277 23.02908  5414.33  8210.52 2.43 2.26  27.1 -0.480    19.75 21.36 02a58075o0673c       0
58075.569673 20.449472      NaN    -16     8 c    0   1.05 105.8277 23.02908  5046.29  2182.37 2.53 2.37  58.2 -0.415    19.73 21.40 02a58075o0694c       0
58075.570585 20.039830      NaN     13     8 c    0   1.10 105.8277 23.02908  5099.45  2260.57 2.58 2.43  34.7 -0.407    19.71 21.38 02a58075o0696c       0
58075.586257 20.244005      NaN      7     8 c    0   1.23 105.8277 23.02908  5117.46  2145.54 2.57 2.43  54.1 -0.412    19.74 21.43 02a58075o0726c       0
58079.591680 20.207197      NaN      1    10 c    0   0.82 105.8277 23.02908  8668.22 10401.44 2.63 2.40  20.1 -0.437    19.76 21.60 02a58079o0761c    8192
58079.593050 20.207197      NaN     -3    10 c    0   0.76 105.8277 23.02908  4795.00   657.81 2.62 2.41  56.6 -0.419    19.79 21.59 02a58079o0764c    8192
58135.486451 20.103715      NaN     -9    11 c    0   0.94 105.8277 23.02908  6272.28  1987.68 3.28 3.02  44.1 -0.398    19.51 21.49 02a58135o0603c       0
58135.502182 20.207197      NaN    -15    10 c    0   0.95 105.8277 23.02908  6255.99  1950.21 3.22 2.93  48.1 -0.391    19.53 21.43 02a58135o0636c       0
58135.508684 20.171596      NaN      3    10 c    0   1.29 105.8277 23.02908  6310.11  2026.19 3.25 3.00  46.6 -0.386    19.43 21.41 02a58135o0650c       0
58135.517600 20.009244      NaN    -22    12 c    0   0.81 105.8277 23.02908  6328.59  1909.98 3.58 3.30  42.8 -0.378    19.36 21.38 02a58135o0668c       0
58167.423325 14.926243      NaN    942   982 c    0   1.37 105.8277 23.02908  1313.51  9888.96 2.86 2.26  14.3 -0.441    14.47 15.84 02a58167o0450c       2
58167.433863 14.228095      NaN  -2681  2464 c    0   0.94 105.8277 23.02908  1368.45  9966.51 2.85 2.37  17.2 -0.481    16.25 17.71 02a58167o0471c       2
58167.442076 17.782105      NaN     66    72 c    0   1.14 105.8277 23.02908  7074.82   255.92 3.19 2.66  41.1 -0.423    17.46 19.03 02a58167o0487c       2
58167.444522 18.816441      NaN    -19    36 c    0   1.13 105.8277 23.02908  1388.47  9847.90 2.89 2.40  14.8 -0.436    18.13 19.73 02a58167o0492c    8192
58167.452582 19.302877      NaN    -12    23 c    0   1.22 105.8277 23.02908  7094.52   137.28 3.19 2.66  42.0 -0.435    18.87 20.51 02a58167o0508c    8192
58171.383826 19.089302      NaN    -67    28 c    0   1.24 105.8277 23.02908  5713.19   406.37 3.07 2.65  39.6 -0.424    18.68 20.15 02a58171o0157c       0
58171.388121 18.526952      NaN    -81    47 c    0   1.08 105.8277 23.02908  9554.15 10169.51 2.74 2.56  13.7 -0.410    18.26 19.50 02a58171o0165c       0
58171.395042 18.910912      NaN    -31    33 c    0   0.88 105.8277 23.02908    60.43 10193.61 2.92 2.39  16.9 -0.400    19.09 20.40 02a58171o0178c       0
58171.395956 19.401649      NaN     17    16 c    0   1.17 105.8277 23.02908  9536.68 10130.35 2.80 2.65  16.1 -0.404    19.30 20.74 02a58171o0180c       0
58171.397860 19.922338      NaN     -1    13 c    0   1.07 105.8277 23.02908  5695.32   368.69 2.92 2.48  43.6 -0.434    19.41 20.88 02a58171o0184c       0
58171.404388 20.103715      NaN     -6    11 c    0   1.07 105.8277 23.02908  5748.67   443.81 3.02 2.60  43.4 -0.424    19.60 21.25 02a58171o0198c       0
58171.405771 19.922338      NaN    -29    13 c    0   0.99 105.8277 23.02908    98.30 10072.53 2.95 2.38  18.5 -0.407    19.60 21.25 02a58171o0201c       0
58171.406244 20.009244      NaN     -9    12 c    0   0.80 105.8277 23.02908  9589.41 10210.45 2.73 2.55   3.5 -0.427    19.64 21.32 02a58171o0202c       0
58171.414698 20.009244      NaN      5    11 c    0   0.84 105.8277 23.02908  9606.77 10093.79 2.72 2.55   5.8 -0.426    19.65 21.39 02a58171o0219c       0
58171.415698 20.207197      NaN     -2    10 c    0   1.32 105.8277 23.02908  5767.24   328.82 3.03 2.51  41.7 -0.431    19.62 21.36 02a58171o0221c       0
58227.272303 19.569016      NaN      1    18 c    0   0.75 105.8277 23.02908  1564.44  9853.85 2.89 2.73 -28.8 -0.413    19.04 20.53 02a58227o0081c    8192
58251.244519 18.900000      NaN     33    23 c    0   1.18 105.8277 23.02908  4377.75  2232.64 2.65 2.43 -65.3 -0.371    18.62 19.47 02a58251o0051c       0
58251.255103 19.922338      NaN     -2    13 c    0   1.01 105.8277 23.02908  4358.57  2193.60 2.67 2.44 -67.4 -0.374    19.16 20.40 02a58251o0073c       0
58251.266112 19.766969      NaN    -19    15 c    0   0.80 105.8277 23.02908  4428.41  2270.72 2.62 2.42 -63.3 -0.380    19.17 20.42 02a58251o0096c       0
58251.277247 19.979496      NaN      6    11 c    0   2.04 105.8277 23.02908  4445.67  2154.05 2.56 2.47 -63.3 -0.383    19.15 20.37 02a58251o0119c       0
58427.630315 19.549093      NaN     25    10 c    0   1.04 105.8277 23.02908   192.27  9616.46 2.59 2.25   7.2 -0.420    19.73 21.48 02a58427o0716c       0
58427.639637 20.207197      NaN      0    10 c    0   1.04 105.8277 23.02908   153.10  9578.64 2.53 2.22   6.8 -0.435    19.71 21.41 02a58427o0731c       0
58427.644555 20.103715      NaN    -15    11 c    0   0.97 105.8277 23.02908  9690.53  9637.87 2.61 2.49  12.7 -0.426    19.62 21.13 02a58427o0738c       0
58427.653411 19.014394      NaN     -4    30 c    0   1.05 105.8277 23.02908   220.35  9654.70 2.64 2.26   4.4 -0.444    18.58 19.34 02a58427o0752c       0
58427.658755 17.318857      NaN     75   118 c    0   0.94 105.8277 23.02908  9667.70  9598.73 2.77 2.56  23.2 -0.419    17.30 17.78 02a58427o0759c       2
58431.626549 20.103715      NaN     -5    11 c    0   0.79 105.8277 23.02908  5449.22  3400.76 2.52 2.40 -82.1 -0.407    19.74 21.50 02a58431o0919c       0
58431.641503 19.922338      NaN    -14    13 c    0   0.88 105.8277 23.02908  5409.13  3362.62 2.53 2.45 -88.9 -0.408    19.70 21.41 02a58431o0946c       0
58431.655176 19.256669      NaN    -22    24 c    0   1.12 105.8277 23.02908  5478.17  3440.84 2.53 2.48 -68.3 -0.413    18.64 19.40 02a58431o0967c       0
58435.627292 20.009244      NaN      0    12 c    0   1.17 105.8277 23.02908  4953.39  1724.98 2.59 2.49  72.4 -0.396    19.44 21.20 02a58435o0919c       0
58435.630191 19.351140      NaN     30    12 c    0   0.87 105.8277 23.02908  4934.96  1687.02 2.54 2.40  51.8 -0.404    19.32 20.96 02a58435o0924c       0
58435.640800 19.419021      NaN     26    12 c    0   0.96 105.8277 23.02908  4986.50  1765.31 2.55 2.43  45.9 -0.405    19.10 20.69 02a58435o0944c       0
58435.654727 18.631975      NaN     32    32 c    0   1.08 105.8277 23.02908  5003.05  1646.16 2.64 2.52  43.3 -0.401    18.20 19.17 02a58435o0965c       0
58455.514498 20.449472      NaN     -3     8 c    0   1.41 105.8277 23.02908  4230.40   642.95 2.74 2.40  38.6 -0.431    19.75 21.65 02a58455o0606c       0
58455.516892 20.207197      NaN     -6    10 c    0   0.83 105.8277 23.02908  2453.42   192.85 2.80 2.49  34.5 -0.397    19.71 21.64 02a58455o0610c       0
58455.528501 20.321591      NaN     -2     9 c    0   0.88 105.8277 23.02908  6369.07  9881.13 2.66 2.44   2.4 -0.447    19.72 21.64 02a58455o0631c       0
58455.532199 20.103715      NaN      0    11 c    0   0.58 105.8277 23.02908  2409.75   156.08 3.04 2.53  22.9 -0.399    19.72 21.65 02a58455o0637c       0
58455.536124 20.009244      NaN      6    10 c    0   0.86 105.8277 23.02908  2482.47   236.75 2.87 2.43  34.2 -0.406    19.76 21.65 02a58455o0644c       0
58455.537581 20.207197      NaN     -6    10 c    0   0.95 105.8277 23.02908  6420.13  9960.74 2.56 2.33   2.9 -0.459    19.78 21.65 02a58455o0647c       0
58455.554470 19.868040      NaN     11    10 c    0   0.82 105.8277 23.02908  6429.64  9843.55 2.75 2.67  74.3 -0.404    19.74 21.68 02a58455o0675c       0
58455.555843 20.244005      NaN      5     8 c    0   1.13 105.8277 23.02908  2495.49   120.58 2.90 2.41  40.6 -0.432    19.76 21.67 02a58455o0678c       0
58459.518936 20.103715      NaN      3    10 c    0   0.96 105.8277 23.02908  4436.05  5306.84 2.48 2.40  36.4 -0.423    19.74 21.63 02a58459o0686c       0
58459.524742 20.282105      NaN      4     8 c    0   1.37 105.8277 23.02908  4453.60  5347.90 2.54 2.50  26.3 -0.418    19.73 21.62 02a58459o0698c       0
58459.532278 20.321591      NaN     -1     9 c    0   0.94 105.8277 23.02908  4483.97  5388.10 2.48 2.46  42.9 -0.423    19.73 21.60 02a58459o0714c       0
58459.538569 20.039830      NaN      8     9 c    0   0.82 105.8277 23.02908  4500.59  5270.93 2.46 2.42  30.9 -0.420    19.73 21.60 02a58459o0727c       0
58487.481191 19.868040 0.291295     41    11 c    0   0.90 105.8277 23.02908  8215.44  3438.42 2.79 2.71 -58.5 -0.402    19.57 21.41 02a58487o0587c       0
58487.488425 19.631075 0.212889     51    10 c    0   1.18 105.8277 23.02908  8249.66  3480.05 2.86 2.72 -74.6 -0.403    19.48 21.39 02a58487o0601c       0
58487.488883 19.816329 0.252497     43    10 c    0   1.15 105.8277 23.02908  8196.38  3401.72 2.85 2.73 -75.5 -0.402    19.51 21.39 02a58487o0602c       0
58487.495911 20.009244 0.301593     36    10 c    0   1.09 105.8277 23.02908  8265.60  3363.09 2.73 2.66 -52.2 -0.400    19.54 21.40 02a58487o0616c       0
58491.455252 19.491430 0.224635     58    12 c    0   0.72 105.8277 23.02908  5377.17  9223.04 2.60 2.53  10.8 -0.445    19.62 21.50 02a58491o0543c       0
58491.466520 19.287255 0.155105     70    10 c    0   1.15 105.8277 23.02908  5355.03  9183.40 2.57 2.49 -11.1 -0.445    19.64 21.50 02a58491o0566c       0
58491.479931 19.549093 0.217147     55    11 c    0   1.02 105.8277 23.02908  5405.33  9263.85 2.67 2.53  -3.4 -0.447    19.59 21.50 02a58491o0592c       0
58491.487741 19.302877 0.188824     69    12 c    0   0.76 105.8277 23.02908  5420.61  9146.56 2.65 2.48  -4.5 -0.449    19.67 21.51 02a58491o0608c       0
58519.406134 18.900000 0.108574    100    10 c    0   0.87 105.8277 23.02908  6353.42  5361.58 2.47 2.37 -63.2 -0.429    19.80 21.71 02a58519o0419c       0
58519.418738 18.955691 0.114288     95    10 c    0   0.70 105.8277 23.02908  6333.58  5321.51 2.53 2.45 -59.1 -0.427    19.78 21.70 02a58519o0444c       0
58519.431802 18.933071 0.100738     97     9 c    0   1.09 105.8277 23.02908  6404.07  5400.34 2.55 2.46 -61.7 -0.423    19.77 21.67 02a58519o0470c       0
58519.438917 19.241693 0.118985     73     8 c    0   1.26 105.8277 23.02908  6422.44  5284.32 2.58 2.48 -54.5 -0.416    19.75 21.66 02a58519o0485c       0
58523.405214 19.155932 0.151178     79    11 c    0   0.85 105.8277 23.02908  2479.07  5362.97 2.63 2.37  15.2 -0.450    19.67 21.56 02a58523o0417c       0
58523.413579 19.026525 0.134192     89    11 c    0   0.87 105.8277 23.02908  2460.94  5323.31 2.56 2.33  23.6 -0.454    19.68 21.53 02a58523o0432c       0
58523.420441 19.384550 0.186611     64    11 c    0   0.75 105.8277 23.02908  2515.38  5400.13 2.52 2.31  24.1 -0.458    19.63 21.53 02a58523o0446c       0
58523.433284 19.089302 0.129254     84    10 c    0   0.88 105.8277 23.02908  2535.11  5283.45 2.57 2.36  22.3 -0.449    19.66 21.52 02a58523o0470c       0
58575.326755 19.318728      NaN     32    12 c    0   1.23 105.8277 23.02908  3676.80  7213.95 2.84 2.80  12.7 -0.378    19.28 21.07 02a58575o0005c    8192
58579.298009 20.009244 0.301593     36    10 c    0   1.16 105.8277 23.02908   546.45  5386.58 2.39 2.31  27.0 -0.382    19.53 21.13 02a58579o0169c       0
58579.306425 20.207197 0.361912     30    10 c    0   0.94 105.8277 23.02908   512.55  5345.06 2.32 2.32 -18.8 -0.388    19.55 21.13 02a58579o0187c       0
58579.307339 19.631075      NaN     18    11 c    0   0.92 105.8277 23.02908 10143.48  5430.30 2.69 2.49  29.5 -0.408    19.55 21.23 02a58579o0189c       0
58579.315340 19.674510      NaN     19    10 c    0   1.16 105.8277 23.02908   585.62  5419.83 2.35 2.33  -0.2 -0.391    19.54 21.11 02a58579o0206c       0
58579.315798 19.841877 0.258509     42    10 c    0   1.04 105.8277 23.02908 10126.88  5389.89 2.59 2.52   8.6 -0.419    19.56 21.21 02a58579o0207c       0
58579.323761 20.207197 0.325721     30     9 c    0   1.38 105.8277 23.02908   605.66  5302.24 2.35 2.29 -30.0 -0.394    19.51 21.09 02a58579o0224c       0
58579.324757 19.894850      NaN     13     9 c    0   1.56 105.8277 23.02908 10182.53  5468.19 2.60 2.50  21.0 -0.417    19.56 21.20 02a58579o0226c       0
58579.333143 19.419021      NaN     26    12 c    0   0.87 105.8277 23.02908 10202.16  5351.36 2.59 2.51  -3.4 -0.417    19.55 21.17 02a58579o0244c       0
58583.266672 19.142275      NaN     35    15 c    0   0.89 105.8277 23.02908  6498.99  1494.29 2.97 2.71 -48.3 -0.392    19.09 20.45 02a58583o0097c       0
58583.275012 19.226921      NaN     32    14 c    0   1.31 105.8277 23.02908  6481.27  1453.36 3.11 2.77 -46.5 -0.381    19.04 20.46 02a58583o0114c       0
58583.283286 19.142275      NaN     26    18 c    0   1.09 105.8277 23.02908  6534.18  1530.37 3.71 3.41 -48.6 -0.372    18.87 20.49 02a58583o0131c       0
58583.291433 19.089302      NaN     18    22 c    0   0.99 105.8277 23.02908  6571.31  1413.60 4.01 3.72 -45.3 -0.357    18.61 20.29 02a58583o0148c       0
58603.271695 19.696897      NaN      6    14 c    0   0.95 105.8277 23.02908  8211.65  1512.54 2.64 2.32 -47.0 -0.408    19.22 20.63 02a58603o0099c       0
58603.280760 19.155932      NaN     28    17 c    0   0.66 105.8277 23.02908  8193.83  1474.33 2.62 2.31 -47.0 -0.409    19.21 20.63 02a58603o0118c       0
58603.289763 19.569016      NaN     12    14 c    0   0.98 105.8277 23.02908  8248.88  1552.65 2.64 2.32 -45.3 -0.405    19.21 20.61 02a58603o0137c       0
58603.298850 19.436675      NaN     16    15 c    0   0.81 105.8277 23.02908  8270.59  1432.68 2.75 2.34 -48.1 -0.409    19.14 20.57 02a58603o0156c       0
58607.257322 19.922338      NaN     -4    13 c    0   0.98 105.8277 23.02908  1694.90  7315.67 2.76 2.40 -47.7 -0.412    19.26 20.75 02a58607o0066c       0
58607.265210 19.454622      NaN     24    12 c    0   0.95 105.8277 23.02908  1678.10  7274.82 2.67 2.37 -51.1 -0.407    19.29 20.71 02a58607o0083c       0
58607.273576 19.631075      NaN      3    16 c    0   0.86 105.8277 23.02908  1733.02  7350.24 2.74 2.46 -50.5 -0.395    19.19 20.68 02a58607o0101c       0
58607.282533 19.652575      NaN     11    13 c    0   1.58 105.8277 23.02908  1772.38  7230.84 2.77 2.29 -48.2 -0.426    19.21 20.62 02a58607o0120c       0
58611.243708 19.401649      NaN    -11    21 c    0   1.51 105.8277 23.02908  4209.28  9440.05 2.78 2.42  50.0 -0.371    18.88 19.84 02a58611o0029c       0
58611.245573 19.287255      NaN     10    20 c    0   1.08 105.8277 23.02908  4190.22  9400.96 2.74 2.41  52.0 -0.373    19.01 20.07 02a58611o0033c       0
58611.251370 19.922338      NaN     -1    13 c    0   1.40 105.8277 23.02908  4246.46  9478.94 2.69 2.44  50.3 -0.379    19.21 20.44 02a58611o0045c       0
58611.267545 19.226921      NaN     26    16 c    0   1.25 105.8277 23.02908  4266.23  9359.93 2.68 2.43  56.8 -0.381    19.26 20.48 02a58611o0079c       0
58751.511743 19.589310      NaN      5    16 c    0   0.95 105.8277 23.02908  7018.08  9080.84 2.72 2.39  35.4 -0.394    19.36 20.89 02a58751o0529c       0
58751.517061 19.719755      NaN     11    12 c    0   1.23 105.8277 23.02908  7042.59  9118.96 2.67 2.38  32.6 -0.397    19.39 20.94 02a58751o0539c       0
58751.520343 20.009244      NaN     -3    12 c    0   1.22 105.8277 23.02908  6984.75  9042.61 2.68 2.41 -48.3 -0.410    19.44 20.95 02a58751o0546c       0
58751.529244 20.009244      NaN     -1    12 c    0   1.27 105.8277 23.02908  6964.98  9158.88 2.69 2.42  36.1 -0.387    19.42 20.99 02a58751o0562c       0
58755.609682 20.009244      NaN     -2    12 c    0   1.40 105.8277 23.02908   753.15  8849.21 2.41 2.21 -45.9 -0.456    19.56 21.13 02a58755o0830c       0
58755.612951 19.922338      NaN    -19    13 c    0   0.96 105.8277 23.02908   772.90  8889.32 2.40 2.21 -47.3 -0.454    19.55 21.13 02a58755o0837c       0
58755.622194 20.009244      NaN    -10    12 c    0   1.20 105.8277 23.02908   714.90  8806.92 2.45 2.27 -48.7 -0.446    19.53 21.13 02a58755o0855c       0
58755.632342 19.841877      NaN    -16    14 c    0   0.64 105.8277 23.02908   691.58  8927.88 2.45 2.21 -46.7 -0.455    19.51 21.06 02a58755o0875c       0
58755.644096 18.481707      NaN     45    34 c    0   1.31 105.8277 23.02908   734.14  8868.20 2.37 2.23 -44.5 -0.465    18.47 19.38 02a58755o0896c       0
58763.586929 20.282105      NaN      1     9 c    0   1.58 105.8277 23.02908  2602.07  3245.71 2.33 2.30 -87.1 -0.409    19.54 21.11 02a58763o0681c       0
58763.591283 20.405150      NaN      1     8 c    0   1.53 105.8277 23.02908  2618.52  3285.98 2.35 2.32  87.9 -0.404    19.54 21.13 02a58763o0689c       0
58763.596533 20.137125      NaN      5     9 c    0   0.73 105.8277 23.02908  2565.52  3206.92 2.35 2.29 -86.7 -0.406    19.55 21.18 02a58763o0700c       0
58763.606517 20.321591      NaN    -10     9 c    0   1.19 105.8277 23.02908  2546.73  3326.11 2.34 2.28 -79.1 -0.413    19.59 21.21 02a58763o0720c       0
58763.644664 19.529530      NaN     14    14 c    0   1.94 105.8277 23.02908  2593.71  3267.55 2.39 2.32  83.6 -0.410    18.95 20.05 02a58763o0794c       0
58783.545016 20.207197      NaN      0    10 c    0   1.25 105.8277 23.02908  8644.14  3452.53 2.47 2.32 -60.4 -0.401    19.69 21.36 02a58783o0681c       0
58783.548233 20.137125      NaN      5     9 c    0   1.11 105.8277 23.02908  8658.25  3491.44 2.40 2.34 -68.3 -0.399    19.67 21.37 02a58783o0688c       0
58783.554725 20.449472      NaN     -1     8 c    0   1.19 105.8277 23.02908  8609.37  3412.86 2.51 2.42 -37.6 -0.391    19.63 21.37 02a58783o0701c       0
58783.567945 20.009244      NaN      6    10 c    0   0.94 105.8277 23.02908  8590.51  3532.03 2.47 2.38 -46.3 -0.393    19.65 21.37 02a58783o0728c       0
58787.620769 19.766969      NaN    -14    15 c    0   1.34 105.8277 23.02908  1756.73  7021.62 2.36 2.18 -36.2 -0.432    19.12 20.67 02a58787o0814c       0
58787.625152 19.922338      NaN    -10    13 c    0   1.59 105.8277 23.02908  1777.71  7062.59 2.38 2.21 -46.6 -0.424    19.15 20.72 02a58787o0823c       0
58787.634093 19.791368      NaN      2    14 c    0   1.18 105.8277 23.02908  8870.65  3593.51 2.42 2.24 -62.4 -0.397    19.09 20.60 02a58787o0840c       0
58787.641152 20.009244      NaN      0    12 c    0   0.78 105.8277 23.02908  8888.68  3479.45 2.49 2.24 -62.4 -0.394    19.37 20.91 02a58787o0851c       0
58791.501214 20.103715      NaN    -24    11 c    0   1.13 105.8277 23.02908  1746.85  7013.64 2.75 2.29  34.4 -0.364    19.51 21.21 02a58791o0636c       0
58791.505633 19.922338      NaN     -5    13 c    0   0.96 105.8277 23.02908  1766.00  7053.35 2.97 2.35  35.2 -0.354    19.48 21.21 02a58791o0645c       0
58791.512977 20.103715      NaN    -23    11 c    0   1.16 105.8277 23.02908  1708.97  6976.04 2.61 2.28  30.5 -0.380    19.52 21.15 02a58791o0660c       0
58791.523928 20.207197      NaN     -6    10 c    0   1.49 105.8277 23.02908  1690.22  7093.17 2.38 2.28  22.0 -0.398    19.60 21.22 02a58791o0681c       0
58795.557363 19.510313      NaN      3    18 c    0   1.07 105.8277 23.02908  4465.07  1231.82 2.40 2.19 -62.7 -0.419    18.80 20.27 02a58795o0634c       0
58795.560571 19.841877      NaN    -16    14 c    0   0.78 105.8277 23.02908  4484.54  1271.32 2.43 2.25 -63.6 -0.415    19.33 20.94 02a58795o0641c       0
58795.568522 19.922338      NaN      9    10 c    0   1.04 105.8277 23.02908  4425.26  1194.05 2.41 2.17 -60.0 -0.426    19.57 21.25 02a58795o0658c       0
58795.579113 19.529530      NaN     17    13 c    0   0.74 105.8277 23.02908  4410.46  1311.83 2.43 2.22 -59.5 -0.419    19.58 21.24 02a58795o0680c       0
58815.527545 19.894850      NaN     10    10 c    0   1.30 105.8277 23.02908   703.25  3315.54 2.50 2.30 -60.7 -0.416    19.56 21.43 02a58815o0685c       0
58815.531553 19.766969      NaN     12    11 c    0   0.98 105.8277 23.02908   723.72  3354.62 2.53 2.33 -55.6 -0.413    19.58 21.44 02a58815o0692c       0
58815.537540 20.103715      NaN    -10    11 c    0   0.84 105.8277 23.02908   662.22  3277.92 2.54 2.36 -64.3 -0.416    19.63 21.53 02a58815o0704c       0
58815.555510 20.103715      NaN     -1    11 c    0   0.90 105.8277 23.02908   644.56  3398.11 2.54 2.31 -54.9 -0.406    19.41 21.27 02a58815o0741c       0
58867.436910 20.009244      NaN     12     8 c    0   1.40 105.8277 23.02908  4656.08  5173.90 2.34 2.28 -70.7 -0.412    19.78 21.66 02a58867o0518c       0
58867.444146 20.207197      NaN      6     8 c    0   1.04 105.8277 23.02908  4634.75  5134.25 2.39 2.32  50.1 -0.406    19.75 21.65 02a58867o0533c       0
58867.446954 20.449472      NaN     -4     8 c    0   0.94 105.8277 23.02908  4693.80  5211.86 2.41 2.35 -69.8 -0.411    19.77 21.67 02a58867o0539c       0
58867.458516 20.321591      NaN     -5     9 c    0   0.98 105.8277 23.02908  4716.35  5097.66 2.25 2.20 -65.4 -0.417    19.81 21.66 02a58867o0563c       0
58871.477087 20.103715      NaN      9     8 c    0   0.96 105.8277 23.02908  4651.67  5171.42 2.32 2.30  28.6 -0.411    19.76 21.54 02a58871o0556c       0
58871.481285 20.207197      NaN     -2    10 c    0   0.75 105.8277 23.02908  4641.83  5136.69 2.28 2.25  53.6 -0.410    19.77 21.53 02a58871o0564c       0
58871.486873 20.449472      NaN    -15     8 c    0   1.13 105.8277 23.02908  4699.12  5213.34 2.31 2.27  53.9 -0.405    19.72 21.51 02a58871o0575c       0
58871.501388 20.405150      NaN      4     7 c    0   1.52 105.8277 23.02908  4715.89  5092.72 2.38 2.27  41.4 -0.409    19.73 21.45 02a58871o0604c       0
58875.455589 20.039830      NaN      8     9 c    0   0.88 105.8277 23.02908  7466.41  1309.46 2.56 2.24 -55.8 -0.408    19.75 21.67 02a58875o0542c       0
58875.458558 19.979496      NaN     10     9 c    0   0.73 105.8277 23.02908  7446.84  1270.00 2.56 2.23 -56.9 -0.408    19.76 21.67 02a58875o0548c       0
58875.465865 20.244005      NaN      2     9 c    0   1.03 105.8277 23.02908  7505.05  1348.84 2.61 2.32 -54.9 -0.403    19.76 21.66 02a58875o0563c       0
58875.477414 20.244005      NaN      2     9 c    0   0.96 105.8277 23.02908  7528.45  1231.98 2.53 2.26 -56.8 -0.411    19.74 21.65 02a58875o0586c       0
58903.279994 20.449472      NaN     -7     8 c    0   0.91 105.8277 23.02908  6476.38  3069.77 2.83 2.51 -55.7 -0.391    19.60 21.60 02a58903o0152c       0
58903.283587 19.979496      NaN      3     9 c    0   0.97 105.8277 23.02908  6495.77  3107.50 2.74 2.41 -52.8 -0.399    19.64 21.61 02a58903o0159c       0
58903.292112 20.207197      NaN     -8    10 c    0   0.68 105.8277 23.02908  4137.22  7530.13 2.69 2.38 -58.4 -0.417    19.68 21.61 02a58903o0172c       0
58903.307859 20.071303      NaN      0     9 c    0   1.04 105.8277 23.02908  4152.08  7418.51 2.68 2.33 -48.9 -0.428    19.71 21.63 02a58903o0203c       0
58931.351612 19.089302      NaN    -30    28 c    0   0.41 105.8277 23.02908    38.67  9241.35 2.85 2.24 -50.2 -0.445    19.55 21.34 02a58931o0240c       0
58931.354382 20.103715      NaN    -14    11 c    0   1.15 105.8277 23.02908  9937.92  9235.42 2.93 2.78 -53.5 -0.368    19.63 21.44 02a58931o0246c       0
58931.357596 19.719755      NaN      4    12 c    0   1.03 105.8277 23.02908  9919.29  9196.63 3.08 2.76 -51.1 -0.365    19.67 21.43 02a58931o0253c       0
58931.362667 19.696897      NaN     -1    14 c    0   1.09 105.8277 23.02908    61.93  9121.13 2.67 2.15 -49.8 -0.446    19.55 21.33 02a58931o0264c       0
58931.363124 20.009244      NaN     -8    12 c    0   0.89 105.8277 23.02908  9977.53  9275.01 3.04 2.85 -49.4 -0.360    19.60 21.42 02a58931o0265c       0
58931.372959 19.318728      NaN     19    14 c    0   1.00 105.8277 23.02908  9998.69  9156.94 3.39 3.00 -52.7 -0.353    19.44 21.38 02a58931o0286c       0
58951.258034 20.103715      NaN    -24    11 c    0   0.62 105.8277 23.02908  3534.00  1496.70 2.45 2.21 -60.6 -0.420    19.55 21.05 02a58951o0034c       0
58951.261256 20.103715      NaN    -19    11 c    0   0.93 105.8277 23.02908  3514.39  1459.07 2.43 2.20 -59.0 -0.425    19.57 21.11 02a58951o0041c       0
58951.267383 20.071303      NaN      0     9 c    0   1.35 105.8277 23.02908  3574.33  1536.41 2.48 2.19 -56.5 -0.418    19.57 21.12 02a58951o0054c       0
58951.279264 19.868040      NaN      1    11 c    0   1.01 105.8277 23.02908  3595.06  1418.52 2.56 2.19 -53.1 -0.431    19.56 21.09 02a58951o0079c       0
58959.238238 19.529530      NaN      1    16 c    0   0.89 105.8277 23.02908  9814.02  1745.17 2.50 2.30 -49.8 -0.408    19.17 20.41 02a58959o0030c       0
58959.241643 20.009244      NaN    -35    12 c    0   1.27 105.8277 23.02908  9796.35  1703.58 2.53 2.29 -51.6 -0.413    19.38 20.73 02a58959o0037c       0
58959.246858 20.103715      NaN     -9    11 c    0   1.11 105.8277 23.02908  9854.81  1782.04 2.61 2.32 -52.7 -0.412    19.45 20.93 02a58959o0048c       0
58959.256948 20.071303      NaN     -6    11 c    0   1.04 105.8277 23.02908  9875.37  1665.54 2.57 2.28 -51.0 -0.413    19.49 20.96 02a58959o0069c       0
58963.265692 14.517192      NaN  -2330  1888 c    0   0.96 105.8277 23.02908  7944.19  7337.64 3.26 2.99  39.7 -0.389    13.97 15.38 02a58963o0089c 8388610
58963.274454 15.809917      NaN    287   476 c    0   1.08 105.8277 23.02908  7982.94  7376.05 3.43 3.16  36.3 -0.407    15.63 17.03 02a58963o0108c 8388610
